M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.840854 -4143138.362517 0.854352 22.151400 0.000000 2103.000000
24 0.817171 -4121784.454600 0.841702 29.501500 0.000000 2193.000000
46 0.861825 -4046610.409075 0.863157 15.930600 0.000000 2836.000000
48 0.837691 -4028722.654486 0.852342 25.229500 0.000000 3103.000000
69 0.865532 -3994998.946277 0.863921 13.389600 0.000000 3450.000000
72 0.838398 -3968205.018827 0.851152 24.539800 0.000000 3999.000000
92 0.864837 -3960086.151351 0.860550 12.408100 0.000000 4124.000000
96 0.831153 -3932824.056756 0.846104 24.953900 0.000000 4891.000000
