M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.831748 -4259698.241161 0.801664 14.474400 0.000000 676.000000
24 0.778290 -4247327.400838 0.789073 30.757500 0.000000 741.000000
46 0.830142 -4177260.111728 0.798122 11.322200 0.000000 1169.000000
48 0.781355 -4159604.149798 0.786459 28.480600 0.000000 1260.000000
69 0.827066 -4128807.697976 0.792770 9.674800 0.000000 1653.000000
72 0.776188 -4104173.593672 0.782391 27.613100 0.000000 1792.000000
92 0.823218 -4097566.189375 0.783183 8.597800 0.000000 2098.000000
96 0.769141 -4075659.123577 0.775328 28.364300 0.000000 2300.000000
