M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.838938 -4101995.626231 0.869065 26.071400 0.000000 5502.000000
24 0.841399 -4062929.349278 0.867899 26.184300 0.000000 7110.000000
46 0.852630 -4000312.097925 0.876763 20.183900 0.000000 7112.000000
48 0.848676 -3962389.382922 0.864119 24.687200 0.000000 8967.000000
69 0.861748 -3945089.838501 0.877103 17.314800 0.000000 9839.000000
72 0.857400 -3908136.167430 0.873525 22.641300 0.000000 10492.000000
92 0.866376 -3906257.690965 0.880613 15.162700 0.000000 10370.000000
96 0.856508 -3868675.652575 0.870556 23.187200 0.000000 11752.000000
