M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.839324 -4206276.092456 0.825900 17.418800 0.000000 976.000000
24 0.796709 -4194719.808607 0.810637 30.515500 0.000000 1099.000000
46 0.845198 -4121242.694865 0.820501 12.251700 0.000000 1540.000000
48 0.802148 -4105338.817343 0.808424 28.199800 0.000000 1705.000000
69 0.849307 -4075861.128417 0.823465 10.296300 0.000000 2090.000000
72 0.806079 -4052612.776570 0.813573 27.262300 0.000000 2319.000000
92 0.845622 -4039018.323598 0.823006 9.941100 0.000000 2559.000000
96 0.802514 -4011506.280665 0.806691 26.385700 0.000000 2848.000000
