M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.837440 -4101824.566077 0.868247 26.045600 0.000000 5436.000000
24 0.840997 -4062880.025057 0.866414 26.174800 0.000000 6340.000000
46 0.854651 -3998209.744426 0.874884 19.840000 0.000000 7149.000000
48 0.847430 -3963148.545320 0.864656 24.724800 0.000000 8585.000000
69 0.859716 -3942394.654455 0.878344 17.320700 0.000000 8438.000000
72 0.856509 -3907079.467343 0.872097 22.914800 0.000000 10064.000000
92 0.865180 -3905469.437040 0.878349 15.329900 0.000000 11403.000000
96 0.857751 -3871817.140142 0.873725 22.729900 0.000000 12351.000000
