M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.838364 -4099623.054725 0.871419 26.402400 0.000000 6670.000000
24 0.840852 -4060254.921257 0.867804 26.478100 0.000000 7404.000000
46 0.854456 -3995127.756849 0.878580 20.238300 0.000000 7903.000000
48 0.848769 -3961877.614556 0.871783 24.289300 0.000000 9251.000000
69 0.859158 -3938118.391104 0.881558 17.603700 0.000000 10708.000000
72 0.856784 -3902289.724091 0.871475 22.748700 0.000000 10779.000000
92 0.862917 -3902985.726975 0.879725 16.105100 0.000000 11063.000000
96 0.852295 -3869885.682888 0.872248 24.276700 0.000000 11983.000000
