M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.830234 -4259760.468000 0.801201 14.802600 0.000000 700.000000
24 0.779868 -4247354.453623 0.790023 31.277400 0.000000 768.000000
46 0.831074 -4177107.247483 0.792360 10.662200 0.000000 1172.000000
48 0.775928 -4161433.311790 0.783922 29.445300 0.000000 1344.000000
69 0.827377 -4127112.218455 0.787441 9.556100 0.000000 1677.000000
72 0.775921 -4105499.999653 0.785269 28.442800 0.000000 1804.000000
92 0.823457 -4092514.441709 0.780279 8.565700 0.000000 2122.000000
96 0.773403 -4072787.283840 0.776457 27.456200 0.000000 2386.000000
