M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.838629 -4206434.729536 0.825437 17.389600 0.000000 1112.000000
24 0.796624 -4195086.868494 0.811267 30.526100 0.000000 1123.000000
46 0.851931 -4120699.108438 0.827378 12.482700 0.000000 1574.000000
48 0.803335 -4103447.611493 0.815087 28.310300 0.000000 1778.000000
69 0.849978 -4071383.768159 0.826031 10.691000 0.000000 2128.000000
72 0.809532 -4049930.745440 0.813446 26.894400 0.000000 2397.000000
92 0.845169 -4038628.255335 0.821224 9.831700 0.000000 2919.000000
96 0.802920 -4011794.049142 0.811213 27.148500 0.000000 3080.000000
