M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.742874 -4409691.964728 0.673661 14.394300 0.000000 462.000000
24 0.695118 -4396565.048972 0.666103 34.396600 0.000000 502.000000
46 0.753325 -4343112.020503 0.680510 10.002100 0.000000 904.000000
48 0.696564 -4328879.840486 0.670837 30.991500 0.000000 956.000000
69 0.754091 -4302729.689774 0.676384 8.739700 0.000000 1334.000000
72 0.707481 -4297911.723718 0.671704 29.199800 0.000000 1412.000000
92 0.744652 -4277064.155701 0.664385 9.471400 0.000000 1773.000000
96 0.713402 -4276148.566870 0.669670 26.057000 0.000000 1931.000000
