M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.839238 -4206746.211379 0.824146 17.272100 0.000000 1042.000000
24 0.796549 -4195042.503507 0.809897 30.400100 0.000000 1104.000000
46 0.847455 -4120544.905047 0.822895 12.336300 0.000000 1548.000000
48 0.804803 -4101413.214758 0.810931 28.310600 0.000000 1730.000000
69 0.848437 -4071869.731934 0.822301 10.779800 0.000000 2117.000000
72 0.805630 -4051502.506049 0.812495 27.867400 0.000000 2278.000000
92 0.844709 -4038636.298169 0.823063 10.020100 0.000000 2587.000000
96 0.804184 -4008110.860209 0.807992 26.549000 0.000000 2906.000000
