M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.838229 -4099631.982450 0.870028 26.343900 0.000000 6011.000000
24 0.840477 -4060272.138907 0.867702 26.499100 0.000000 7348.000000
46 0.856037 -3997622.447928 0.877191 20.495900 0.000000 8391.000000
48 0.852508 -3961118.601331 0.871466 24.516700 0.000000 9733.000000
69 0.860046 -3940401.326982 0.877027 17.588900 0.000000 10432.000000
72 0.855454 -3902571.007917 0.873003 23.006400 0.000000 10731.000000
92 0.865661 -3899326.640242 0.882592 15.708200 0.000000 11685.000000
96 0.855536 -3865869.004342 0.873517 24.024500 0.000000 13717.000000
