roc wrdlkh roc_sent_macro roc_trans roc_macro_trans fprAUC traintime
690 0.819032 -20212900.000000 0.730786 0.000000 0.000000 0.045966 67967.000000
700 0.818860 -20211880.000000 0.729936 0.000000 0.000000 0.045864 68858.000000
710 0.818770 -20210350.000000 0.731228 0.000000 0.000000 0.045952 69990.000000
720 0.818723 -20209200.000000 0.730311 0.000000 0.000000 0.045827 70887.000000
730 0.817901 -20208360.000000 0.734564 0.000000 0.000000 0.045904 71860.000000
740 0.818145 -20207310.000000 0.731826 0.000000 0.000000 0.045883 72832.000000
750 0.818267 -20206490.000000 0.731543 0.000000 0.000000 0.045811 73755.000000
760 0.820324 -20205350.000000 0.732455 0.000000 0.000000 0.045776 74723.000000
770 0.820375 -20204190.000000 0.734591 0.000000 0.000000 0.045858 75663.000000
780 0.819651 -20203320.000000 0.734363 0.000000 0.000000 0.045746 76604.000000
790 0.820153 -20202380.000000 0.734448 0.000000 0.000000 0.045805 77543.000000
800 0.820912 -20201510.000000 0.735595 0.000000 0.000000 0.045724 78484.000000
810 0.821073 -20200320.000000 0.737350 0.000000 0.000000 0.045677 79421.000000
820 0.820723 -20199410.000000 0.733361 0.000000 0.000000 0.045692 80359.000000
830 0.820829 -20198470.000000 0.735317 0.000000 0.000000 0.045704 81299.000000
840 0.820953 -20197420.000000 0.737751 0.000000 0.000000 0.045546 82239.000000
850 0.821228 -20196740.000000 0.734881 0.000000 0.000000 0.045634 83177.000000
860 0.821523 -20196040.000000 0.736378 0.000000 0.000000 0.045532 84115.000000
870 0.821260 -20195220.000000 0.735209 0.000000 0.000000 0.045588 85053.000000
880 0.821314 -20194440.000000 0.735421 0.000000 0.000000 0.045549 85994.000000
