M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.840950 -4116910.320154 0.869172 24.930400 0.000000 3347.000000
24 0.843415 -4078984.174454 0.864167 25.208100 0.000000 3593.000000
46 0.858645 -4018125.322276 0.871775 18.453600 0.000000 4410.000000
48 0.851323 -3986135.131194 0.866872 25.137800 0.000000 5349.000000
69 0.864046 -3960306.128622 0.875993 15.909800 0.000000 5582.000000
72 0.853148 -3929321.282435 0.867328 24.053700 0.000000 6310.000000
92 0.867298 -3923726.680971 0.873573 14.187400 0.000000 6356.000000
96 0.851158 -3887905.066665 0.866573 24.525000 0.000000 7577.000000
