M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.838827 -4206706.597143 0.823435 17.194000 0.000000 1045.000000
24 0.796396 -4194499.339040 0.811729 30.553800 0.000000 1118.000000
46 0.848143 -4119179.559573 0.823442 12.635000 0.000000 1621.000000
48 0.805359 -4103484.882116 0.811880 27.708600 0.000000 1759.000000
69 0.848078 -4072875.577429 0.825431 11.191300 0.000000 2111.000000
72 0.807690 -4049808.316687 0.817045 27.788800 0.000000 2259.000000
92 0.843836 -4039399.352078 0.820929 9.846400 0.000000 2552.000000
96 0.807937 -4009721.805323 0.810228 26.118200 0.000000 2939.000000
