M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.837855 -4101893.793898 0.867922 26.025900 0.000000 5460.000000
24 0.841347 -4062929.894814 0.866711 26.169200 0.000000 7520.000000
46 0.857088 -3999854.971441 0.878716 19.872500 0.000000 7114.000000
48 0.851552 -3963240.681706 0.871235 24.499300 0.000000 8325.000000
69 0.859782 -3943501.817616 0.875874 17.291000 0.000000 9353.000000
72 0.848308 -3909846.124821 0.868727 26.047500 0.000000 10143.000000
92 0.863569 -3905916.386914 0.878179 15.932700 0.000000 9822.000000
96 0.849062 -3870446.196215 0.869421 24.929200 0.000000 11291.000000
