M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.841322 -4116802.844035 0.868946 24.837100 0.000000 3921.000000
24 0.843444 -4078991.841912 0.863612 25.200600 0.000000 4269.000000
46 0.858685 -4020079.693254 0.872962 18.856600 0.000000 4655.000000
48 0.852490 -3984786.160897 0.865661 25.072300 0.000000 5303.000000
69 0.860743 -3960584.474009 0.874400 15.886400 0.000000 5516.000000
72 0.850055 -3930841.186976 0.864249 24.093800 0.000000 6270.000000
92 0.864437 -3921899.999123 0.873238 14.221800 0.000000 6417.000000
96 0.846207 -3893791.540812 0.861011 25.270400 0.000000 7638.000000
