M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.837804 -4101896.287860 0.868430 26.043700 0.000000 6162.000000
24 0.841094 -4062895.151459 0.867036 26.148200 0.000000 7239.000000
46 0.855887 -4000470.244774 0.876752 19.845000 0.000000 6954.000000
48 0.849893 -3965676.394770 0.871906 24.655300 0.000000 9056.000000
69 0.859938 -3941178.905022 0.880003 17.126200 0.000000 9020.000000
72 0.855657 -3905103.520248 0.870337 22.750800 0.000000 10200.000000
92 0.866604 -3904069.111057 0.881868 15.565600 0.000000 10887.000000
96 0.862812 -3867485.771453 0.873807 21.758000 0.000000 11690.000000
