M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.841446 -4106704.999501 0.870007 25.691100 0.000000 4956.000000
24 0.841878 -4066704.466353 0.867635 26.176100 0.000000 6339.000000
46 0.856876 -4003093.980289 0.875064 19.746700 0.000000 7209.000000
48 0.855785 -3968054.240246 0.872993 24.588700 0.000000 7451.000000
69 0.862684 -3946031.099445 0.879862 17.018600 0.000000 8812.000000
72 0.855678 -3911057.911419 0.870973 23.251700 0.000000 9151.000000
92 0.867080 -3910524.936366 0.880854 15.113800 0.000000 9008.000000
96 0.853672 -3873693.111293 0.869309 24.490800 0.000000 10699.000000
