M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.840876 -4106694.555562 0.869938 25.688200 0.000000 4792.000000
24 0.842392 -4066682.063511 0.868012 26.186600 0.000000 5272.000000
46 0.856162 -4003462.661817 0.876309 19.604900 0.000000 6292.000000
48 0.852718 -3969027.197941 0.868380 24.661000 0.000000 7556.000000
69 0.859053 -3945337.644983 0.876777 16.828200 0.000000 7958.000000
72 0.858040 -3912843.866241 0.873125 23.071500 0.000000 8935.000000
92 0.863113 -3908878.728219 0.878881 15.494100 0.000000 8520.000000
96 0.851676 -3878558.242580 0.869387 24.685400 0.000000 10973.000000
