M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.831000 -4259380.321750 0.801923 14.458800 0.000000 692.000000
24 0.776835 -4247162.751816 0.787398 31.556000 0.000000 748.000000
46 0.829325 -4176876.534732 0.792497 10.630300 0.000000 1155.000000
48 0.777689 -4158503.859613 0.787362 29.597800 0.000000 1247.000000
69 0.828430 -4130620.422602 0.797012 8.668400 0.000000 1634.000000
72 0.769862 -4110480.057957 0.774264 29.345400 0.000000 1790.000000
92 0.823519 -4095870.315213 0.787079 8.806900 0.000000 2111.000000
96 0.777937 -4071603.083685 0.782006 27.841200 0.000000 2326.000000
