M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.841187 -4143122.593270 0.855202 22.147800 0.000000 2124.000000
24 0.817936 -4121886.369473 0.842168 29.508800 0.000000 2178.000000
46 0.860356 -4049272.770743 0.863385 16.074200 0.000000 2959.000000
48 0.838543 -4024452.984962 0.848832 25.195100 0.000000 3032.000000
69 0.860349 -3996510.652652 0.860887 13.669700 0.000000 3456.000000
72 0.836376 -3969731.192719 0.846185 24.811300 0.000000 4397.000000
92 0.866249 -3961508.602887 0.860290 11.833300 0.000000 4548.000000
96 0.833397 -3930362.826945 0.850654 25.722100 0.000000 5109.000000
