M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.841598 -4116783.327908 0.869384 24.839100 0.000000 3928.000000
24 0.821395 -4087701.079410 0.853614 29.970100 0.000000 4624.000000
46 0.858045 -4017466.065456 0.872454 18.587100 0.000000 5468.000000
48 0.845903 -3985143.679989 0.864166 25.314300 0.000000 6189.000000
69 0.862432 -3960880.621698 0.872576 15.783500 0.000000 6626.000000
72 0.846001 -3931855.021998 0.862283 26.335700 0.000000 7670.000000
92 0.865886 -3923652.079086 0.873639 14.259400 0.000000 6995.000000
96 0.851602 -3889503.794464 0.865008 25.118000 0.000000 8467.000000
