M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.837858 -4101866.465382 0.868148 26.034000 0.000000 5983.000000
24 0.841292 -4062950.044579 0.867054 26.186000 0.000000 6321.000000
46 0.855089 -3999271.577521 0.877353 20.070000 0.000000 7143.000000
48 0.852905 -3965754.882205 0.871375 24.473900 0.000000 8745.000000
69 0.859459 -3941546.720415 0.877130 17.188500 0.000000 9762.000000
72 0.856078 -3909353.412979 0.870091 23.197100 0.000000 10209.000000
92 0.865578 -3903815.713112 0.878410 15.395900 0.000000 9912.000000
96 0.854663 -3871810.591158 0.872441 24.769300 0.000000 12107.000000
