M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.840861 -4116584.676320 0.869383 24.839300 0.000000 3576.000000
24 0.843654 -4079020.545645 0.864180 25.247000 0.000000 4034.000000
46 0.857701 -4017777.769496 0.871216 18.923800 0.000000 4893.000000
48 0.851789 -3984712.032578 0.865623 25.080000 0.000000 5319.000000
69 0.864084 -3962105.437613 0.874114 15.987000 0.000000 5744.000000
72 0.852530 -3928624.226197 0.866221 23.784400 0.000000 6732.000000
92 0.863735 -3924271.858742 0.872566 14.529200 0.000000 7173.000000
96 0.845861 -3893257.881214 0.861665 25.519100 0.000000 8301.000000
