M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.751316 -4409081.065426 0.686078 14.127900 0.000000 462.000000
24 0.697742 -4394036.280871 0.671729 35.322800 0.000000 506.000000
46 0.756911 -4343775.215797 0.686651 10.653300 0.000000 897.000000
48 0.699185 -4332167.330053 0.669506 32.218200 0.000000 983.000000
69 0.762040 -4302375.666536 0.683764 8.566000 0.000000 1336.000000
72 0.713023 -4299268.008870 0.665927 29.241700 0.000000 1413.000000
92 0.755715 -4277708.931385 0.674987 9.066400 0.000000 1775.000000
96 0.704746 -4273997.383977 0.665306 28.155900 0.000000 1912.000000
