M roc wrdlkh roc_macro incons_lblng fprAUC traintime
23 0.838661 -4206975.274717 0.823339 17.245700 0.000000 993.000000
24 0.794021 -4194425.982467 0.810509 30.349100 0.000000 1155.000000
46 0.844433 -4120140.741349 0.822247 12.291800 0.000000 1544.000000
48 0.803330 -4103352.746550 0.811046 28.454400 0.000000 1747.000000
69 0.846403 -4072876.550380 0.821159 10.914700 0.000000 2080.000000
72 0.808284 -4054708.058749 0.811589 27.103200 0.000000 2267.000000
92 0.847675 -4037653.915439 0.824159 10.067400 0.000000 2631.000000
96 0.806613 -4016800.173951 0.809562 27.164400 0.000000 2826.000000
